"","Kingdom","Phylum","Class","Order","Family","Genus"
"37","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"38","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"39","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"40","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"41","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"42","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"43","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"44","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"45","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"46","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"47","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"48","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"49","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"50","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"51","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"52","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"53","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"54","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"55","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"56","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"57","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"58","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"59","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"60","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"61","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"62","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"63","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"64","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"65","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"66","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"67","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"68","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"69","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"70","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"71","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"72","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"73","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"74","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"75","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"76","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"77","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"78","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"79","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"80","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"81","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"82","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"83","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"84","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"85","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"86","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"87","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"88","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"89","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"90","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"91","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"92","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"93","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"94","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"95","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"96","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"97","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"98","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"99","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"100","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"101","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"102","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"103","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"104","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"105","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"106","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"107","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"108","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"109","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"110","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"111","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"112","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"113","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"114","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"115","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"116","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"117","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"118","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"119","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"120","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"121","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"122","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"123","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"124","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"125","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"126","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"127","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"128","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"129","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"130","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"131","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"132","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"133","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"134","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"135","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"136","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"137","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"138","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"139","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"140","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"141","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"142","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"143","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"144","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"145","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"146","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"147","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"148","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"149","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"150","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"151","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"152","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"153","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"154","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"155","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA
"156","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"157","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"158","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"159","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"160","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"161","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"162","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"163","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"164","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"165","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"166","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"167","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"168","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"169","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"170","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"171","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"172","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"173","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"174","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"175","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"176","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"177","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"178","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"179","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"180","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"181","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"182","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"183","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"184","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"185","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"186","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"187","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus"
"188","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"189","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"190","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"191","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"192","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"193","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"194","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"195","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"196","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"197","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"198","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"199","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"200","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"201","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"202","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA
"203","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"204","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"205","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"206","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"207","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"208","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"209","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"210","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"211","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"212","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"213","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"214","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"215","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"216","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"217","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"218","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"219","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"220","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus"
"221","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"222","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"223","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"224","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"225","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"226","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"227","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"228","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"229","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"230","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"231","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia"
"232","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"233","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"234","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"235","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"236","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"237","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"238","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"239","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"240","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"241","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"242","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"243","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"244","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"245","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"246","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"247","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"248","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"249","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"250","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"251","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"252","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"253","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"254","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides"
"255","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia"
"256","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"257","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum"
"258","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"259","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"260","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paeniclostridium"
"261","Bacteria","Actinomycetota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"262","Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paraclostridium"
"263","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"264","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"265","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"266","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia"
"267","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"268","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"269","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"270","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"271","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-008"
"272","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
